create_time,bid,campaign_id,custom_track,group_id,job_id,publisher_id,ts
59b89d20-0078-11ed-ae59-7c745653fb70,,,click,,,,2022-07-10 17:47:00
13948770-08b4-11ed-82d2-3357b3debaac,,,,,,,2022-07-21 05:15:00
c79d5240-06ef-11ed-8be4-d595d514fc5e,,,,,,,2022-07-18 09:23:00
cc38bfe0-01ab-11ed-ad1d-4e7f9f57d9ae,,,,,,,2022-07-12 06:28:00
eb1c41e0-08d4-11ed-91db-608fad54872e,,,,,,,2022-07-21 09:10:00
c12bcf30-0cae-11ed-a2b9-bd2c06266165,1,93,click,,258,1,2022-07-26 06:47:00
023ec540-00a7-11ed-8fac-5c1b57aea571,,,,,,,2022-07-10 23:21:00
aea413a0-0357-11ed-bea5-5430bc5c2a9e,,,conversion,,,,2022-07-14 09:31:00
81978180-0c8f-11ed-bd32-b5e566dd501c,0,222,,,1534,1,2022-07-26 03:03:00
29e534d0-0b5b-11ed-ba7c-c9f94a3a838a,1,48,,34,188,1,2022-07-24 14:16:00
d34ce4a0-0c8c-11ed-a893-07bf4da2a326,7,1,,,440,1,2022-07-26 02:44:00
f4650d20-0d63-11ed-9c7d-15049b4bec21,,,alive,,,,2022-07-27 04:24:00
f97405c0-ff5b-11ec-96bf-0f99a1dea770,,,click,,,,2022-07-09 07:51:00
05693bc0-0c90-11ed-b9d1-947efbe57435,1,48,click,34,188,1,2022-07-26 03:07:00
0f55adc0-0c00-11ed-8a8d-7c6b5477cd63,,,alive,,,,2022-07-25 09:56:00
0cd166e0-0c8f-11ed-9a32-0284ed8fac80,0,222,click,,1532,1,2022-07-26 03:00:00
8ebe7e80-0bd2-11ed-8b2e-4f999f5b385f,,,,,,,2022-07-25 04:30:00
66b66330-07fe-11ed-b2fd-4a0a23ce9807,,,,,,,2022-07-20 07:34:00
4001c500-0d61-11ed-9df0-b9be2e55ea57,1,15,,,336,1,2022-07-27 04:04:00
14d0cf60-ff9d-11ec-8278-f9020a78902e,,,click,,,,2022-07-09 15:37:00
fbb9e940-0d60-11ed-a462-d273ab3dbd98,1,93,click,,258,1,2022-07-27 04:02:00
281b46b0-089c-11ed-808d-c76d7eace818,,,,,,,2022-07-21 02:23:00
eccd3a50-018e-11ed-a3a2-5bc13a21fb20,,,click,,,,2022-07-12 03:01:00
68373b90-fea2-11ec-8561-738a836b9aa9,,,,,,,2022-07-08 09:43:00
878ee620-0cb0-11ed-9464-3c8ca5d2c240,0,222,,,1530,1,2022-07-26 06:59:00
465a6c40-0078-11ed-9fe2-3d81c03548db,,,click,,,,2022-07-10 17:46:00
d0ad2190-0c8e-11ed-9466-86d24367e09c,0,222,,,1531,1,2022-07-26 02:58:00
bd222a30-00ef-11ed-be8c-edc0e8506834,,,,,,,2022-07-11 08:01:00
66d4aed0-0b5a-11ed-80a6-28dc2df2b9c3,1,48,click,34,188,1,2022-07-24 14:10:00
3cc9a4b0-0cc2-11ed-b15b-0d4ed0445d3f,,,click,,,,2022-07-26 09:06:00
18a56820-0c00-11ed-ba7e-4a111cda19d1,,,alive,,,,2022-07-25 09:56:00
d279af40-018d-11ed-8e71-ddc7ad039d03,,,,,,,2022-07-12 02:53:00
9c0fe320-034f-11ed-b33b-0576611fdbed,,,,,,,2022-07-14 08:33:00
46286350-00c6-11ed-908f-f7f1c01f1166,,,,,,,2022-07-11 03:05:00
0b0b8a00-fea4-11ec-bea8-b8989f2097db,,,alive,,,,2022-07-08 09:55:00
602068e0-006f-11ed-9ea9-07a55edaca97,,,click,,,,2022-07-10 16:43:00
ed31d9f0-0c8e-11ed-9483-be2d3e6a90a9,0,222,,,1532,1,2022-07-26 02:59:00
